property_type,tenure,built_year,num_beds,num_baths,size_sqft,furnishing,subzone,planning_area,price,shop_dist,mrt_dist,commercials_dist,second_school_dist,primary_school_dist,density,available_unit_type_is_studio,available_unit_type_min_room,available_unit_type_max_room
hdb,tenure-100,1988,3,2,1115,unspecified,yishun south,yishun,514500.0,102.84107142190726,102.8412483692131,102.84110062182494,102.84168870632904,102.84096184991266,31517.683927771974,studio,1,5
hdb,tenure-100,1992,4,2,1575,unspecified,serangoon north,serangoon,995400.0,102.87914460405385,102.87931329670673,102.8791724290963,102.87973383652977,102.87904023764013,23280.268730831023,other,1,6
condo,freehold,2022,4,6,3070,partial,mountbatten,marine parade,8485000.0,102.8987332271567,102.89888742819937,102.89875863838552,102.89927321989192,102.89863800042903,5829.779776856125,studio,3,6
condo,freehold,2023,3,2,958,partial,farrer court,bukit timah,2626000.0,102.80631242742349,102.80646943148884,102.80633830530512,102.80686195815997,102.80621543461304,11059.413027916966,studio,1,4
condo,tenure-100,2026,2,1,732,unspecified,anson,downtown core,1764000.0,102.84638750424246,102.84653692114709,102.84641211843856,102.84691125057452,102.84629529597402,775.1937984496124,studio,1,5
condo,freehold,2024,2,2,689,unspecified,bukit batok south,bukit batok,1702000.0,102.76714699072849,102.76730934470581,102.7671737596398,102.76771470445364,102.76704662442394,8265.057573073516,studio,1,5
condo,tenure-100,2026,3,2,1076,unspecified,kampong java,kallang,2475900.0,102.85517609510552,102.85533268691722,102.8552019044484,102.8557242175246,102.8550793613443,10009.505703422054,studio,1,5
condo,freehold,2014,1,1,700,unspecified,nassim,tanglin,1312500.0,102.82874971986084,102.82890731117503,102.82877569562028,102.8293012423224,102.82865235622056,4541.768045417681,other,1,4
condo,freehold,2025,2,1,570,unspecified,leedon park,bukit timah,1802500.0,102.8058476880269,102.80600431352168,102.80587350284885,102.80639593260508,102.80575093399567,3159.1856757419673,studio,1,4
condo,tenure-100,1985,2,2,1733,unspecified,bedok south,bedok,2205000.0,102.94833560718904,102.9484943110662,102.94836176858645,102.94889089100545,102.94823753947935,15577.352950989223,studio,1,4
condo,freehold,2023,2,1,646,unspecified,kaki bukit,bedok,1365000.0,102.90885612356436,102.90901636706069,102.90888254131089,102.90941664455424,102.90875708557253,13169.088975540588,studio,1,4
condo,freehold,2024,1,1,474,unspecified,bukit batok south,bukit batok,1008000.0,102.76714699072849,102.76730934470581,102.7671737596398,102.76771470445364,102.76704662442394,8265.057573073516,studio,1,5
condo,tenure-100,2004,3,3,1227,unspecified,upper thomson,bishan,2079000.0,102.83512170584044,102.83528884927581,102.83514927271257,102.83570568158122,102.8350183174103,7634.757760748149,other,1,4
condo,tenure-100,2024,2,1,850,unspecified,mountbatten,marine parade,2080000.0,102.89105811157006,102.89121254123685,102.89108356086032,102.89159888227772,102.89096274079724,5829.779776856125,studio,1,9
hdb,tenure-100,1992,3,2,1119,unspecified,peng siang,choa chu kang,554400.0,102.74570172564351,102.74587240932128,102.74572988197485,102.74629774370655,102.74559610609765,40245.74011823345,studio,1,5
hdb,tenure-100,1981,3,2,980,unspecified,balestier,novena,554400.0,102.84770116884937,102.8478613186539,102.84772757082675,102.84826138107096,102.84760219115722,16832.762379321084,other,3,3
condo,freehold,2009,3,1,517,partial,lavender,kallang,800100.0,102.85991398517515,102.8600710189909,102.85993986815522,102.86046360860597,102.85981697254194,12802.21957986524,studio,1,1
condo,tenure-100,2017,4,7,6200,unspecified,cecil,downtown core,19740000.0,102.85211469540528,102.85226477067974,102.85213941928123,102.85264067771887,102.85202207178024,1322.4821973550356,studio,1,5
hdb,tenure-100,1980,1,1,470,unspecified,cheng san,ang mo kio,309800.0,102.85254476259601,102.85271373345026,102.85257263390756,102.85313494444715,102.85244022124161,29371.141571622895,other,1,5
condo,tenure-100,2023,4,4,1496,unspecified,dover,queenstown,2730000.0,102.7767612218067,102.77691679858626,102.77678686186667,102.7773059078248,102.77666512979057,8027.240454973556,studio,1,4
