iter	RMSE
0	308164706.2
1	303397344.2
2	298798603.2
3	294363768.8
4	290088371.3
5	285967740.9
6	281997907.4
7	278173361.1
8	274491982
9	270948895.2
10	267539562.4
11	264260705.4
12	261107603.2
13	258076518.5
14	255164013.2
15	252367084.7
16	249680643.6
17	247102227.9
18	244627665.9
19	242253986.3
20	239977306.3
21	237794548.8
22	235702364.5
23	233697299.1
24	231776385.1
25	229937463.6
26	228176962.1
27	226491344.4
28	224878525.7
29	223335522.5
30	221860663.3
31	220450397.7
32	219102452.5
33	217813942.1
34	216583070.9
35	215407134.4
36	214284048.6
37	213212135.5
38	212188902.2
39	211378149
40	210438966
41	209542803.6
42	208687866.1
43	207872642.2
44	207095229.5
45	206353973.9
46	205647435.9
47	204974161
48	204332242.5
49	203720536.2
50	203138031.5
51	202582972.8
52	202054440.9
53	201551124.4
54	201071951.3
55	200615615.8
56	200181277.9
57	199767776.4
58	199373941.6
59	198999255.9
60	198642725.5
61	198303309
62	197980457.9
63	197673321.3
64	197381048.6
65	197103132.5
66	196838729.1
67	196587268.5
68	196348045.8
69	196120564.8
70	195904282.2
71	195698603.6
72	195503044.7
73	195317043.7
74	195140050.1
75	194971861.6
76	194811945.2
77	194659908.3
78	194515470.9
79	194378085.1
80	194247566
81	194123450.4
82	194005433.7
83	193893346.8
84	193786707
85	193685484.6
86	193589211
87	193497695.2
88	193410686.4
89	193327942.8
90	193249476.7
91	193174725.8
92	193103824.7
93	193036441.3
94	192972448.9
95	192911603.2
96	192853779.9
97	192798832.6
98	192746633
99	192697036.6
100	192649944.9
101	192605182.4
102	192562634.4
103	192522210.6
104	192483833.2
105	192447359.4
106	192412731.8
107	192379655.4
108	192348351.8
109	192318636.5
110	192290274.6
111	192263405.7
112	192237909.6
113	192213646
114	192190616.6
115	192168729.4
116	192147924.2
117	192128086.7
118	192109334.2
119	192091452.9
120	192074472.6
121	192058397.8
122	192043108.4
123	192028606.8
124	192014832.5
125	192001761.6
126	191989328.2
127	191977514.2
128	191966271.8
129	191955571.7
130	191945445.4
131	191935827.1
132	191926656.4
133	191917956.3
134	191909674.2
135	191901830.9
136	191894381.3
137	191887318.1
138	191880601.9
139	191874214.7
140	191868132
141	191862359.2
142	191856888
143	191851662.8
144	191846708
145	191841996.2
146	191837532.7
147	191833291.5
148	191829266
149	191825437
150	191821624.5
151	191818162.1
152	191814861.6
153	191811757.5
154	191808789.7
155	191805981.2
156	191803296.9
157	191800738.1
158	191798286.2
159	191795989.5
160	191793750.8
161	191792003.6
162	191790029.9
163	191788113.1
164	191786305.2
165	191784592.5
166	191782984.3
167	191781356.9
168	191779892.3
169	191778490
170	191777165
171	191775923.3
172	191774718.4
173	191773573.7
174	191772488.4
175	191771449.8
176	191770474.4
177	191769545.6
178	191768653.8
179	191767805
180	191766939.1
181	191766180.5
182	191765404.5
183	191764734.5
184	191764093.9
185	191763482.5
186	191762889.7
187	191762319
188	191761782.4
189	191761282.8
190	191760785.9
191	191760327.9
192	191759877.9
193	191759456.4
194	191759038
195	191758664.7
196	191758316.4
197	191757981.2
198	191757660.9
199	191757316.5
200	191757033.4
201	191756756
202	191756490.1
203	191756222.8
204	191755967.6
205	191755748.4
206	191755538.7
207	191755331.6
208	191755143.3
209	191754940.7
210	191754749.5
211	191754581.7
212	191754378.6
213	191754217.5
214	191754067.2
215	191753917.3
216	191753634.7
217	191753501.6
218	191753229.6
219	191753111.1
220	191753005
221	191752900.9
222	191752795.4
223	191752675.6
224	191752317.4
225	191752107.2
226	191751976
227	191751900.6
228	191751777.1
229	191751636.6
230	191751571.1
231	191751397.1
232	191751268.7
233	191751180.2
234	191750973.6
235	191750793.7
236	191750631.8
237	191750525.8
238	191750375.5
239	191750275.8
240	191750147.4
241	191750033
242	191749957.5
243	191749710.8
244	191749618
245	191749424.3
246	191749296.7
247	191749189.3
248	191749082.5
249	191748720.1
250	191748610.1
251	191748521.5
252	191748164.4
253	191748052.1
254	191747777
255	191747700.8
256	191747414.5
257	191747331.1
258	191747246
259	191747151.5
260	191747049.4
261	191746994.9
262	191746943.9
263	191746833.2
264	191746742.2
265	191746672.2
266	191746616.9
267	191746540
268	191746454.3
269	191746379.6
270	191746339.2
271	191746274.1
272	191746210.4
273	191746152.3
274	191746079.3
275	191746023.2
276	191745975.2
277	191745913.1
278	191745747.7
279	191745664.3
280	191745542
281	191745389.9
282	191745339.3
283	191745323
284	191745307.4
285	191745292.3
286	191745190.7
287	191745176.2
288	191745126.8
289	191744959.1
290	191744796.4
291	191744782.5
292	191744745
293	191744692.9
294	191744631.8
295	191744565
296	191744529.5
297	191744383.9
298	191744349.7
299	191744316.9
300	191744272.5
301	191744193.9
302	191744080
303	191744039
304	191744009.6
305	191743875
306	191743846.7
307	191743814.7
308	191743687.3
309	191743671
310	191743580.8
311	191743408.5
312	191743365.3
313	191743251.6
314	191743216.3
315	191743062
316	191743035.9
317	191743002.8
318	191742926.8
319	191742902.9
320	191742802.7
